refYear,country,imports,exports,total_trade,import_export_ratio,prev_trade,yoy_change,volatility_score,dependency_score,year,event_count,avg_goldstein,avg_tone,conflict_ratio,disruption_index,risk_label,node_id,predicted_risk,prob_low,prob_medium,prob_high,confidence,risk_category,total_trade_B,imports_B,exports_B,yoy_pct,risk_score,phase,phase_order,country_tableau,confidence_pct,confidence_bucket,trade_balance_type
2021,"China, Hong Kong SAR",0.0,0.9894064041067666,224049006059.732,0.0,311846861964.689,0.0176931960849591,0.3394135276760368,0.9762781665948926,2021.0,0.0003413793002547,0.7684263125682338,1.0,0.6927340405406767,0.5533423452496276,1,"China, Hong Kong SAR_2021",1,0.0033431535,0.994913,0.0017438291,0.994913,Medium,224.049,0.0,221.676,1.77,95.4,Recovery (2021),3,Hong Kong,99.5,High (≥80%),Export-heavy
2022,"China, Hong Kong SAR",0.5290418398820405,1.0,408859702215.4869,0.8055413708916381,224049006059.732,0.0493842205848258,0.3394135276760368,0.9762781665948926,2022.0,0.0003188013042062,0.606067253328385,0.9172943489002866,0.838357656052802,0.5732535273664483,1,"China, Hong Kong SAR_2022",1,0.00978952,0.98972535,0.00048511664,0.98972535,Medium,408.86,216.304,408.86,4.94,98.9,Post-COVID (2022),4,Hong Kong,99.0,High (≥80%),Balanced
2019,Czechia,0.0094790135577084,0.0062879266889053,4761937838.0,2.1882427293177336,0.0,0.0257574309132079,0.0021542290822838,0.0658873878703895,2019.0,0.0326622322037436,0.6028328036833175,0.3003597914757031,0.7139755637719087,0.1594019155882807,0,Czechia_2019,0,0.89554054,0.004629046,0.09983033,0.89554054,Low,4.762,0.045,0.03,2.58,27.5,Pre-COVID (2019),1,Czechia,89.6,High (≥80%),Import-heavy
2020,Czechia,0.0111562113228899,0.0075228531674764,5619791167.0,2.1693788832541223,4761937838.0,0.0309174338976216,0.0021542290822838,0.0658873878703895,2020.0,0.0299564851572796,0.6099002065737251,0.1776170256910349,0.7619712904903463,0.1553589986144622,0,Czechia_2020,0,0.94556445,0.0021521663,0.052283347,0.94556445,Low,5.62,0.063,0.042,3.09,26.8,COVID Shock (2020),2,Czechia,94.6,High (≥80%),Import-heavy
2021,Czechia,0.011206925752165,0.0083564908512808,5825993798.0,1.9696146700360475,5619791167.0,0.0268084114144086,0.0021542290822838,0.0658873878703895,2021.0,0.0329376837555365,0.5591537401927108,0.303312727994573,0.7675074923555699,0.167937194627957,0,Czechia_2021,0,0.9750397,0.0064843674,0.0184759,0.9750397,Low,5.826,0.065,0.049,2.68,29.0,Recovery (2021),3,Czechia,97.5,High (≥80%),Import-heavy
2022,Czechia,0.0125914940783681,0.0083027704427052,6291229074.0,2.2267552626481275,5825993798.0,0.0280447315613005,0.0021542290822838,0.0658873878703895,2022.0,0.0311133816748098,0.7592579039149022,0.4256441568576199,0.5827653973288182,0.1527062872896273,0,Czechia_2022,0,0.9544012,0.030026555,0.015572268,0.9544012,Low,6.291,0.079,0.052,2.8,26.3,Post-COVID (2022),4,Czechia,95.4,High (≥80%),Import-heavy
2019,Denmark,0.0,0.001458186676952,400251194.211,0.0,0.0,0.0257574309132079,0.0019320584180575,0.0221747325773292,2019.0,0.048531854066382,0.6250256862317956,0.3093922904905036,0.7070723510528609,0.1482748685593706,0,Denmark_2019,0,0.95970887,0.0010611612,0.039229993,0.95970887,Low,0.4,0.0,0.001,2.58,25.6,Pre-COVID (2019),1,Denmark,96.0,High (≥80%),Export-heavy
2020,Denmark,0.0,0.0013003902604892,364529714.642,0.0,400251194.211,0.0232010978612402,0.0019320584180575,0.0221747325773292,2020.0,0.0322729875518657,0.6608126158870238,0.1288551419520605,0.7971548554323025,0.143222262752049,0,Denmark_2020,0,0.98110884,0.00045145335,0.018439677,0.98110884,Low,0.365,0.0,0.0,2.32,24.7,COVID Shock (2020),2,Denmark,98.1,High (≥80%),Export-heavy
2021,Denmark,0.0020498105925944,0.0016574167483075,1152122820.876,1.5869919577055034,364529714.642,0.0876430305176339,0.0019320584180575,0.0221747325773292,2021.0,0.0310483570461898,0.6582083442620004,0.2995136330150443,0.6759077129112144,0.1549894270114629,0,Denmark_2021,0,0.98166966,0.0034749052,0.014855445,0.98166966,Low,1.152,0.002,0.002,8.76,26.7,Recovery (2021),3,Denmark,98.2,High (≥80%),Import-heavy
2022,Denmark,0.0031985288366997,0.0017451211385644,1568052790.4350002,2.3706592562578943,1152122820.876,0.0360979435256859,0.0019320584180575,0.0221747325773292,2022.0,0.0361699496698537,0.6260658881881146,0.2927881953812136,0.6554480519319987,0.1409389167028079,0,Denmark_2022,0,0.9491748,0.032561727,0.018263398,0.9491748,Low,1.568,0.005,0.003,3.61,24.3,Post-COVID (2022),4,Denmark,94.9,High (≥80%),Import-heavy
